DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P6210;P6210S1;P1366;P756;P756S3;P755;P755S3;P753;P753S3;P1662;P6080;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P1906S9;P3038;P3039
689390;237;2;1;2;30.814054241;5;511;3;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689390;237;3;1;3;30.814054241;6;606;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689391;237;2;1;2;41.043389267;5;513;3;2;;1;;1;;;9;4;4;3;3;4;4;4;4;4;1;2
689391;237;3;1;3;41.043389267;6;601;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
689391;237;1;1;1;41.043389267;3;304;3;1;;1;;1;;;9;4;4;4;3;4;4;4;4;4;2;1
689392;237;1;1;1;23.025477719;6;607;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
689392;237;2;1;2;23.025477719;6;607;3;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689392;237;3;1;3;23.025477719;6;607;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689392;237;4;1;4;23.025477719;6;606;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
689393;237;1;1;1;64.597860555;3;305;4;1;;1;;1;;;9;3;4;4;3;4;4;4;4;4;1;2
689393;237;2;1;2;64.597860555;5;511;5;2;;1;;1;;;5;4;4;4;4;4;4;4;4;4;1;2
689393;237;3;1;3;64.597860555;6;610;6;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;1;2
689393;237;4;1;4;64.597860555;6;603;6;1;;1;;1;;;5;4;4;4;4;4;4;4;4;4;2;1
689393;237;5;1;5;64.597860555;5;513;6;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;1;2
689394;237;1;1;1;29.801863754;5;511;3;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
689394;237;3;1;3;29.801863754;6;608;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689394;237;2;1;2;29.801863754;5;511;3;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689395;237;4;1;4;16.952589755;6;601;3;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;1;2
689395;237;5;1;5;16.952589755;6;604;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689395;237;6;1;6;16.952589755;6;601;6;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;2;1
689395;237;7;1;7;16.952589755;6;601;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
689395;237;8;1;8;16.952589755;6;601;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689395;237;1;1;1;16.952589755;6;601;3;2;;1;;1;;;9;4;4;3;4;4;4;4;4;4;2;1
689395;237;2;1;2;16.952589755;3;302;4;2;;1;;1;;;9;2;3;2;2;3;3;2;3;4;1;2
689395;237;3;1;3;16.952589755;5;511;4;2;;1;;1;;;9;4;4;3;3;4;4;4;4;4;1;2
689396;237;1;1;1;30.235161639;5;511;4;2;;1;;1;;;9;4;4;3;3;4;4;4;4;4;1;2
689396;237;2;1;2;30.235161639;6;605;6;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689397;237;1;1;1;33.537394694;6;605;6;1;;1;;1;;;9;4;4;3;3;4;4;4;4;4;2;1
