DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P6210;P6210S1;P1366;P756;P756S3;P755;P755S3;P753;P753S3;P1662;P6080;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P1906S9;P3038;P3039
653412;237;1;1;1;66.148601747;3;305;6;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;1;2
653412;237;2;1;2;66.148601747;5;511;5;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653412;237;3;1;3;66.148601747;5;511;6;2;;1;;1;;;9;4;4;3;3;4;3;4;3;4;2;1
653412;237;4;1;4;66.148601747;4;409;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
653412;237;5;1;5;66.148601747;1;100;4;1;;1;;1;;;9;2;4;3;3;3;4;3;4;4;1;2
653412;237;6;1;6;66.148601747;1;100;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653413;237;3;1;3;125.26718236;3;303;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
653413;237;5;1;5;125.26718236;3;305;6;1;;1;;1;;;9;2;2;2;2;2;2;2;2;2;1;2
653413;237;6;1;6;125.26718236;1;100;6;3;3;3;3;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653413;237;1;1;1;125.26718236;4;409;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653413;237;2;1;2;125.26718236;9;999;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653414;237;1;1;1;168.57941962;3;305;4;1;;1;;1;;;9;3;4;3;3;4;4;4;4;4;1;2
653415;237;1;1;1;159.37525712;5;511;6;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653416;237;1;1;1;160.92322623;6;613;1;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653416;237;2;1;2;160.92322623;6;612;1;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653417;237;1;1;1;199.90644804;5;511;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653417;237;2;1;2;199.90644804;5;511;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653417;237;3;1;3;199.90644804;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
653417;237;4;1;4;199.90644804;5;510;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
653418;237;1;1;1;142.55513284;4;400;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653418;237;2;1;2;142.55513284;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653419;237;1;1;1;142.55513284;5;511;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653419;237;2;1;2;142.55513284;5;511;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653420;237;1;1;1;147.51955784;5;511;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653420;237;2;1;2;147.51955784;3;302;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653421;237;1;1;1;148.75793313;3;305;5;2;;1;;1;;;9;4;4;3;3;4;4;4;4;4;1;2
653421;237;2;1;2;148.75793313;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653421;237;3;1;3;148.75793313;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653422;237;1;1;1;157.97038298;5;511;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653422;237;2;1;2;157.97038298;5;511;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653423;237;1;1;1;138.73191666;3;305;6;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653423;237;2;1;2;138.73191666;6;605;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653423;237;3;1;3;138.73191666;3;305;4;2;;1;;1;;;9;2;2;2;2;2;4;4;4;4;2;1
653423;237;4;1;4;138.73191666;5;511;6;2;;1;;1;;;9;4;4;3;4;4;4;4;4;4;2;1
653424;237;1;1;1;148.75793313;5;512;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653424;237;2;1;2;148.75793313;5;511;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653424;237;3;1;3;148.75793313;5;510;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
653425;237;1;1;1;139.95391933;4;409;5;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653425;237;2;1;2;139.95391933;6;613;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653425;237;3;1;3;139.95391933;4;409;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653425;237;4;1;4;139.95391933;5;510;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
653426;237;1;1;1;118.71256451;5;511;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653426;237;2;1;2;118.71256451;3;305;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653426;237;3;1;3;118.71256451;6;602;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653427;237;1;1;1;117.57135569;5;511;6;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653428;237;1;1;1;144.83919738;1;100;5;1;;2;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653428;237;2;1;2;144.83919738;4;409;6;1;;2;;1;;;9;4;4;4;4;4;4;4;4;4;;
653430;237;1;1;1;194.33496646;3;302;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653430;237;2;1;2;194.33496646;3;301;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653431;237;1;1;1;139.90580629;4;409;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653431;237;2;1;2;139.90580629;3;304;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653431;237;3;1;3;139.90580629;5;510;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
653432;237;1;1;1;159.33002731;3;305;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653432;237;2;1;2;159.33002731;3;305;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653432;237;3;1;3;159.33002731;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653432;237;5;1;5;159.33002731;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653433;237;1;1;1;168.43844389;5;511;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653433;237;2;1;2;168.43844389;6;605;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653433;237;3;1;3;168.43844389;4;409;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
653433;237;4;1;4;168.43844389;5;511;4;1;;1;;1;;;9;4;4;2;4;4;4;4;4;4;1;2
653434;237;4;1;4;212.03415277;6;604;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653434;237;5;1;5;212.03415277;5;513;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653434;237;1;1;1;212.03415277;5;511;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653434;237;2;1;2;212.03415277;5;511;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653434;237;3;1;3;212.03415277;6;605;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653435;237;1;1;1;209.79039434;1;100;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653435;237;2;1;2;209.79039434;1;100;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653435;237;3;1;3;209.79039434;5;510;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
653435;237;4;1;4;209.79039434;5;510;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
653436;237;1;1;1;273.48144052;1;100;2;3;3;1;;1;;;9;4;4;3;4;4;4;4;4;4;2;1
653436;237;2;1;2;273.48144052;1;100;1;3;3;3;4;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653436;237;3;1;3;273.48144052;9;999;6;3;3;3;3;1;;;9;3;3;3;3;3;3;3;3;3;2;1
653436;237;4;1;4;273.48144052;4;407;6;3;3;3;3;1;;;9;4;4;4;4;4;4;4;4;4;;
653437;237;1;1;1;257.75713757;5;511;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653437;237;2;1;2;257.75713757;5;511;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653438;237;1;1;1;257.75713757;3;305;2;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;2;1
653438;237;2;1;2;257.75713757;3;303;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653439;237;1;1;1;270.51157479;1;100;5;3;3;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653439;237;2;1;2;270.51157479;3;305;5;3;3;3;3;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653439;237;3;1;3;270.51157479;5;510;6;3;3;1;;1;;;9;4;4;4;4;4;4;4;4;3;1;2
653439;237;4;2;1;270.51157479;1;100;6;3;3;3;3;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653440;237;1;1;1;190.86451089;3;305;3;2;;2;;2;;3;9;4;4;3;2;2;4;2;4;4;2;1
653440;237;2;1;2;190.86451089;6;605;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653441;237;1;1;1;294.27461063;3;304;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653441;237;2;1;2;294.27461063;4;409;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653441;237;3;1;3;294.27461063;4;406;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653441;237;4;1;4;294.27461063;4;409;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653441;237;5;1;5;294.27461063;3;305;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653442;237;1;1;1;276.03796301;3;305;2;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653442;237;2;1;2;276.03796301;4;408;2;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653442;237;3;1;3;276.03796301;4;409;6;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653443;237;1;1;1;152.76796809;3;305;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653444;237;2;1;2;155.37745701;4;409;2;1;;1;;1;;;9;3;4;3;3;3;4;4;4;4;2;1
653444;237;3;1;3;155.37745701;6;602;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653444;237;4;1;4;155.37745701;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
653444;237;1;1;1;155.37745701;5;511;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653445;237;1;1;1;177.02346941;5;511;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653445;237;2;1;2;177.02346941;6;605;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653446;237;1;1;1;155.87893283;4;407;6;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653447;237;1;1;1;171.8380524;6;605;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653447;237;2;1;2;171.8380524;6;605;1;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653447;237;3;1;3;171.8380524;6;602;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
653448;237;1;1;1;86.927349944;4;408;4;2;;1;;1;;;9;3;4;4;3;4;4;4;4;4;1;2
653448;237;2;1;2;86.927349944;6;610;5;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653449;237;1;1;1;94.289574089;6;610;3;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653449;237;2;1;2;94.289574089;6;601;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653451;237;1;1;1;125.49944829;6;605;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653451;237;2;1;2;125.49944829;6;607;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653451;237;3;1;3;125.49944829;6;605;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653452;237;1;1;1;191.00429427;6;610;6;3;3;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653452;237;2;1;2;191.00429427;5;511;6;3;3;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653453;237;1;1;1;196.55815405;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653453;237;2;1;2;196.55815405;6;610;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653454;237;1;1;1;210.74222549;5;511;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653454;237;2;1;2;210.74222549;5;513;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653455;237;1;1;1;219.12602082;6;601;2;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653455;237;2;1;2;219.12602082;4;409;2;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653455;237;3;1;3;219.12602082;5;510;6;1;;1;;1;;;9;4;4;4;3;4;4;4;4;4;;
653456;237;1;1;1;157.58488812;6;609;6;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653456;237;2;1;2;157.58488812;6;605;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653456;237;3;1;3;157.58488812;4;407;6;2;;1;;1;;;9;4;4;4;4;4;2;4;3;3;2;1
653458;237;1;1;1;110.07256627;3;301;5;2;;2;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653458;237;2;1;2;110.07256627;4;409;6;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653460;237;1;1;1;102.20895461;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653461;237;1;1;1;123.41606618;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653462;237;1;1;1;120.07651509;5;511;5;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653462;237;2;1;2;120.07651509;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
653462;237;3;1;3;120.07651509;5;510;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
653463;237;1;1;1;126.52622765;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653464;237;1;1;1;143.43773141;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653465;237;1;1;1;129.64816437;3;305;3;2;;1;;1;;;9;4;4;3;3;4;4;4;4;4;2;1
653465;237;2;1;2;129.64816437;5;511;3;1;;1;;1;;;9;4;4;4;3;3;4;4;4;3;1;2
653466;237;1;1;1;160.37452444;4;408;2;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653466;237;2;1;2;160.37452444;5;511;2;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653467;237;1;1;1;112.18127194;4;406;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653467;237;2;1;2;112.18127194;3;305;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653467;237;3;1;3;112.18127194;6;603;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653468;237;1;1;1;161.09817413;6;610;5;2;;1;;1;;;9;4;4;3;4;4;4;4;4;4;1;2
653468;237;2;1;2;161.09817413;6;600;6;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653468;237;3;1;3;161.09817413;3;302;6;2;;1;;1;;;9;4;2;3;4;2;4;4;4;4;2;1
653469;237;1;1;1;129.64816437;3;302;3;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653469;237;2;1;2;129.64816437;3;303;3;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653470;237;1;1;1;154.78954631;5;513;2;3;3;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653470;237;2;1;2;154.78954631;5;513;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653471;237;2;1;2;178.87036921;5;511;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653471;237;3;1;3;178.87036921;6;603;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653471;237;4;1;4;178.87036921;6;601;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
653471;237;1;1;1;178.87036921;5;511;2;1;;1;;1;;;9;4;4;4;4;4;3;4;4;4;1;2
653473;237;1;1;1;124.12597353;3;304;4;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653473;237;2;1;2;124.12597353;6;605;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653473;237;3;1;3;124.12597353;6;605;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653474;237;1;1;1;86.818670913;3;302;4;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653474;237;2;1;2;86.818670913;1;100;6;2;;1;;1;;;9;4;3;4;2;2;2;3;4;4;1;2
653474;237;3;1;3;86.818670913;6;602;4;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653474;237;4;1;4;86.818670913;4;409;6;1;;2;;1;;;9;4;4;4;4;4;4;4;4;4;;
653474;237;6;1;6;86.818670913;3;305;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653475;237;3;1;3;97.502243616;6;605;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653475;237;1;1;1;97.502243616;6;604;2;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;2;1
653475;237;2;1;2;97.502243616;5;511;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653476;237;1;1;1;151.85689087;5;511;2;3;3;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653476;237;2;1;2;151.85689087;3;305;2;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653477;237;1;1;1;151.51285993;4;407;5;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653478;237;1;1;1;114.1473636;3;301;3;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653478;237;2;1;2;114.1473636;3;305;3;2;;1;;1;;;9;3;4;4;3;4;4;4;4;4;2;1
653478;237;3;1;3;114.1473636;5;511;6;2;;1;;1;;;9;4;4;3;4;4;4;4;4;4;1;2
653478;237;4;1;4;114.1473636;5;511;6;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;2;1
653478;237;5;1;5;114.1473636;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653478;237;6;1;6;114.1473636;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653479;237;1;1;1;144.25693329;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653479;237;2;1;2;144.25693329;5;510;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653479;237;3;1;3;144.25693329;4;408;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
653481;237;1;1;1;113.10489534;3;305;3;2;;1;;1;;;9;4;4;4;3;3;4;4;4;4;2;1
653481;237;2;1;2;113.10489534;4;406;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653482;237;1;1;1;139.72862526;3;305;5;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653482;237;2;1;2;139.72862526;1;100;4;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653483;237;1;1;1;152.87856426;5;512;3;1;;1;;1;;;9;4;4;2;4;4;4;4;4;4;1;2
653483;237;2;1;2;152.87856426;3;305;3;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653484;237;1;1;1;136.15086744;4;409;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653485;237;1;1;1;155.25402807;3;305;4;2;;1;;1;;;9;2;4;2;4;3;4;4;4;4;1;2
653485;237;2;1;2;155.25402807;3;305;6;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;2;1
653486;237;1;1;1;181.03867554;6;602;2;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;1;2
653486;237;2;1;2;181.03867554;6;603;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653487;237;1;1;1;176.60863412;3;305;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653487;237;2;1;2;176.60863412;3;304;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653487;237;3;1;3;176.60863412;5;511;6;1;;1;;1;;;9;4;4;4;2;2;4;4;4;4;2;1
653488;237;1;1;1;100.83746118;1;100;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;3;1;2
653488;237;2;1;2;100.83746118;3;303;2;2;;1;;1;;;9;4;4;4;4;4;4;4;4;3;2;1
653489;237;1;1;1;122.95378498;5;511;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653489;237;2;1;2;122.95378498;4;409;2;1;;1;;1;;;9;4;3;4;1;3;3;3;1;1;2;1
653489;237;3;1;3;122.95378498;5;511;6;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;;
653489;237;5;1;5;122.95378498;1;100;6;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653490;237;1;1;1;116.69775463;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653490;237;2;1;2;116.69775463;4;409;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
653491;237;1;1;1;128.04756975;5;512;3;2;;1;;1;;;9;4;4;2;2;4;4;4;4;4;1;2
653491;237;2;1;2;128.04756975;3;305;3;2;;1;;1;;;9;4;4;4;2;4;4;4;4;4;2;1
653492;237;1;1;1;148.52441342;1;100;4;2;;1;;1;;;9;3;4;3;2;3;4;4;4;4;2;1
653493;237;1;1;1;193.28365701;5;513;2;2;;1;;1;;;9;4;4;2;4;4;4;4;4;4;1;2
653493;237;2;1;2;193.28365701;5;513;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653494;237;1;1;1;123.26110483;4;406;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653494;237;2;1;2;123.26110483;3;303;2;1;;1;;1;;;9;4;4;4;3;3;4;4;4;4;1;2
653494;237;3;1;3;123.26110483;6;601;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653494;237;4;1;4;123.26110483;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653495;237;1;1;1;184.23613545;5;512;2;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653495;237;2;1;2;184.23613545;5;512;2;3;3;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653496;237;1;1;1;160.37452444;6;602;2;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653496;237;2;1;2;160.37452444;6;603;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653497;237;1;1;1;184.02530867;4;407;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653497;237;2;1;2;184.02530867;5;511;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653497;237;3;1;3;184.02530867;4;409;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
653498;237;1;1;1;169.68343277;4;409;3;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653498;237;2;1;2;169.68343277;3;305;3;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653498;237;3;1;3;169.68343277;5;512;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653498;237;4;1;4;169.68343277;5;510;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
653498;237;8;1;8;169.68343277;3;301;4;2;;1;;1;;;9;2;2;2;2;2;2;4;3;3;1;2
653499;237;1;1;1;134.44036949;6;602;5;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653499;237;2;1;2;134.44036949;6;602;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653499;237;3;1;3;134.44036949;6;602;3;2;;1;;1;;;9;4;4;3;4;4;4;4;4;4;1;2
653499;237;5;1;5;134.44036949;3;305;4;2;;1;;1;;;9;4;4;2;3;3;3;3;4;3;2;1
653499;237;6;1;6;134.44036949;3;300;6;1;;1;;1;;;9;4;3;4;4;4;2;4;3;4;1;2
653500;237;1;1;1;160.37452444;5;513;2;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653500;237;2;1;2;160.37452444;5;511;2;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653501;237;1;1;1;152.15151634;3;303;4;2;;1;;1;;;9;4;4;3;3;3;4;4;4;4;1;2
653501;237;2;1;2;152.15151634;6;602;6;3;3;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653502;237;1;1;1;153.77213984;5;511;6;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653502;237;2;1;2;153.77213984;5;510;6;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
653503;237;1;1;1;162.92015181;3;303;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653503;237;2;1;2;162.92015181;5;511;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653504;237;1;1;1;174.56568047;5;511;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653504;237;2;1;2;174.56568047;6;604;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653505;237;1;1;1;157.65832096;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653506;237;1;1;1;162.92015181;5;511;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653506;237;2;1;2;162.92015181;4;408;2;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653507;237;1;1;1;141.93845588;3;305;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653507;237;2;1;2;141.93845588;5;511;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653508;237;3;1;3;161.7905966;4;409;6;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;2;1
653508;237;4;1;4;161.7905966;3;305;6;1;;1;;1;;;9;4;4;4;4;4;3;4;3;4;2;1
653508;237;1;1;1;161.7905966;1;100;6;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
653508;237;2;1;2;161.7905966;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653509;237;1;1;1;142.34200611;4;409;5;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653510;237;1;1;1;153.72235814;5;511;2;3;3;1;;1;;;9;4;4;3;4;4;4;4;4;3;1;2
653510;237;2;1;2;153.72235814;5;511;2;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653510;237;3;1;3;153.72235814;5;510;6;3;3;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
653511;237;1;1;1;94.675736041;3;304;4;2;;1;;1;;;9;3;4;3;3;4;4;4;4;4;1;2
