DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;DEPMUNI;CIUDADES28;Clase;FEX_C;P1987;P1988;P1988S1;P1989;P1990
647827;235;1;1;1;00000;1;Cabecera;720.73850504;1;1;2;1;1
647828;235;1;1;1;00000;1;Cabecera;745.95411037;2;1;2;2;1
647829;235;1;1;1;00000;1;Cabecera;899.93835114;1;1;2;2;1
647830;235;1;1;1;68001;1;Cabecera;155.14843986;1;1;2;4;1
647831;235;1;1;1;68001;1;Cabecera;84.27253915;2;1;2;1;1
647832;235;1;1;1;68001;1;Cabecera;120.93755672;2;1;2;2;1
647833;235;1;1;1;68001;1;Cabecera;92.34838284;1;1;2;4;1
647834;235;1;1;1;68001;1;Cabecera;90.131600564;1;1;2;4;1
647835;235;1;1;1;68001;1;Cabecera;106.48038934;2;1;2;1;1
647836;235;1;1;1;68001;1;Cabecera;113.47991141;2;1;2;2;1
647837;235;1;1;1;68001;1;Cabecera;89.029737957;2;1;2;1;1
647838;235;1;1;1;68001;1;Cabecera;91.046161553;2;1;2;1;1
647839;235;1;1;1;68001;1;Cabecera;125.26188062;2;1;2;1;1
647841;235;1;1;1;68001;1;Cabecera;115.8876024;1;1;2;2;1
647842;235;1;1;1;68001;1;Cabecera;92.585812947;1;1;2;4;1
647843;235;1;1;1;68001;1;Cabecera;71.928590122;1;1;1;1;1
647844;235;1;1;1;68001;1;Cabecera;67.333774943;1;1;2;2;1
647846;235;1;1;1;68001;1;Cabecera;75.853703392;2;1;2;2;1
647847;235;1;1;1;68001;1;Cabecera;51.920100344;1;1;2;1;1
647848;235;1;1;1;68001;1;Cabecera;62.833958298;1;1;2;1;1
647849;235;1;1;1;68001;1;Cabecera;61.322842181;2;1;2;2;1
647851;235;1;1;1;68001;1;Cabecera;98.823245234;2;1;2;2;1
647852;235;1;1;1;68001;1;Cabecera;66.800555341;2;1;1;1;1
647854;235;1;1;1;68001;1;Cabecera;96.241149147;1;1;2;2;1
647855;235;1;1;1;68001;1;Cabecera;84.27253915;1;1;2;1;1
647857;235;1;1;1;68001;1;Cabecera;87.92787535;1;1;2;1;1
647858;235;1;1;1;68001;1;Cabecera;120.23383072;2;1;1;1;1
647859;235;1;1;1;68001;1;Cabecera;82.295711954;2;1;1;1;1
647860;235;1;1;1;68001;1;Cabecera;106.7726295;2;1;2;2;1
647861;235;1;1;1;68001;1;Cabecera;120.76583142;2;1;1;1;1
647863;235;1;1;1;68001;1;Cabecera;120.79177412;1;1;2;1;1
647864;235;1;1;1;68001;1;Cabecera;115.89955442;2;1;1;2;1
647865;235;1;1;1;68001;1;Cabecera;100.75352399;1;1;2;1;1
647867;235;1;1;1;68001;1;Cabecera;125.26188062;2;1;2;1;1
647868;235;1;1;1;68001;1;Cabecera;101.57621763;1;1;2;2;1
647870;235;1;1;1;68001;1;Cabecera;105.26567898;2;1;1;1;1
647871;235;1;1;1;68001;1;Cabecera;87.92787535;2;1;1;1;1
647872;235;1;1;1;68001;1;Cabecera;104.30959898;2;1;1;2;1
647873;235;1;1;1;68001;1;Cabecera;112.3780488;2;1;1;1;1
647874;235;1;1;1;68001;1;Cabecera;101.14532087;2;1;1;2;1
647876;235;1;1;1;68001;1;Cabecera;112.3780488;2;1;1;1;1
647877;235;1;1;1;68001;1;Cabecera;84.27253915;2;1;1;1;1
647879;235;1;1;1;68001;1;Cabecera;109.01310016;2;1;1;1;1
647880;235;1;1;1;68001;1;Cabecera;112.18508399;1;1;2;1;1
647881;235;1;1;1;68001;1;Cabecera;105.41146158;2;1;2;2;1
647882;235;1;1;1;68001;1;Cabecera;105.41146158;2;1;2;1;1
647883;235;1;1;1;68001;1;Cabecera;105.41146158;2;1;2;2;1
647884;235;1;1;1;68001;1;Cabecera;91.046161553;1;1;2;1;1
647885;235;1;1;1;68001;1;Cabecera;116.79855629;2;1;2;1;1
647886;235;1;1;1;68001;1;Cabecera;106.96352409;2;1;2;1;1
647887;235;1;1;1;68001;1;Cabecera;95.704099151;2;1;2;1;1
647888;235;1;1;1;68001;1;Cabecera;88.126707412;2;1;2;1;1
647889;235;1;1;1;00000;1;Cabecera;1262.7580699;2;1;2;2;1
647890;235;1;1;1;00000;1;Cabecera;1288.6552432;1;1;2;3;1
647892;235;1;1;1;00000;1;Cabecera;1262.7580699;1;1;2;2;1
647893;235;1;1;1;00000;1;Cabecera;1222.2360679;2;1;2;2;1
647894;235;1;1;1;00000;1;Cabecera;1264.9367471;1;1;2;1;1
647895;235;1;1;1;00000;1;Cabecera;1791.0436317;1;1;2;4;1
647896;235;1;1;1;00000;1;Cabecera;847.40429717;1;1;1;2;1
647898;235;1;1;1;00000;1;Cabecera;1028.2135043;1;1;2;4;1
647899;235;1;1;1;00000;1;Cabecera;972.14770932;1;1;2;2;1
647901;235;1;1;1;00000;1;Cabecera;576.1385354;1;1;2;2;1
647902;235;1;1;1;00000;1;Cabecera;1001.1988363;1;1;2;1;1
647903;235;1;1;1;00000;1;Cabecera;1026.5662916;1;1;2;1;1
647904;235;1;1;1;73001;1;Cabecera;119.26891239;2;1;3;2;1
647905;235;1;1;1;73001;1;Cabecera;69.47247433;2;1;3;2;1
647906;235;1;1;1;73001;1;Cabecera;86.001988406;2;1;2;2;1
647907;235;1;1;1;73001;1;Cabecera;82.630311847;1;1;2;2;1
647908;235;1;1;1;73001;1;Cabecera;67.111800565;1;1;2;1;1
647909;235;1;1;1;73001;1;Cabecera;197.67230828;2;1;2;2;1
647910;235;1;1;1;73001;1;Cabecera;81.774035273;1;1;2;1;1
647911;235;1;1;1;73001;1;Cabecera;69.932734414;1;1;2;1;1
647912;235;1;1;1;73001;1;Cabecera;98.652878005;1;1;2;2;1
647913;235;1;1;1;73001;1;Cabecera;95.902179971;1;1;2;2;1
647914;235;1;1;1;73001;1;Cabecera;127.9699074;1;1;2;1;1
647915;235;1;1;1;73001;1;Cabecera;79.713553951;2;1;2;3;1
647916;235;1;1;1;66001;1;Cabecera;107.10176943;1;1;2;1;1
647917;235;1;1;1;66001;1;Cabecera;71.865746401;1;1;2;1;1
647918;235;1;1;1;66001;1;Cabecera;92.756661028;1;1;2;2;1
647919;235;1;1;1;66001;1;Cabecera;83.676709453;2;1;2;2;1
647920;235;1;1;1;66001;1;Cabecera;87.023494078;2;1;2;2;1
647921;235;1;1;1;66001;1;Cabecera;54.443801398;2;1;2;2;1
647922;235;1;1;1;66001;1;Cabecera;77.117517128;1;1;2;2;1
647923;235;1;1;1;66001;1;Cabecera;60.295501443;2;1;2;2;1
647924;235;1;1;1;66001;1;Cabecera;89.600123507;1;1;2;1;1
647925;235;1;1;1;66001;1;Cabecera;108.3831296;1;1;2;1;1
647926;235;1;1;1;66001;1;Cabecera;63.311850742;2;1;2;2;1
647927;235;1;1;1;66001;1;Cabecera;104.59588682;1;1;1;1;1
647928;235;1;1;1;66001;1;Cabecera;85.681415547;1;1;2;2;1
647929;235;1;1;1;66001;1;Cabecera;88.888848757;2;1;2;2;1
647930;235;1;1;1;66001;1;Cabecera;91.363249363;1;1;2;1;1
647931;235;1;1;1;66001;1;Cabecera;95.933475572;2;1;2;2;1
647932;235;1;1;1;66001;1;Cabecera;95.920617585;1;1;2;1;1
647933;235;1;1;1;66001;1;Cabecera;95.520698075;1;1;2;2;1
647934;235;1;1;1;66001;1;Cabecera;82.115943797;1;1;2;1;1
647935;235;1;1;1;66001;1;Cabecera;63.307607606;2;1;2;1;1
647936;235;1;1;1;66001;1;Cabecera;56.900407398;1;1;3;1;1
647937;235;1;1;1;66001;1;Cabecera;98.475365928;2;1;1;1;1
647938;235;1;1;1;66001;1;Cabecera;88.413597313;2;1;2;2;1
647939;235;1;1;1;66001;1;Cabecera;56.042581214;2;1;2;2;1
647940;235;1;1;1;66001;1;Cabecera;96.160734654;2;1;1;2;1
647941;235;1;1;1;66001;1;Cabecera;76.9956416;2;1;1;2;1
647942;235;1;1;1;66001;1;Cabecera;117.51977345;2;1;1;1;1
647943;235;1;1;1;66001;1;Cabecera;80.847162882;2;1;1;2;1
647944;235;1;1;1;66001;1;Cabecera;86.244485655;2;1;2;2;1
647945;235;1;1;1;66001;1;Cabecera;138.79448183;2;1;1;2;1
647946;235;1;1;1;66001;1;Cabecera;64.322207812;2;1;2;2;1
647947;235;1;1;1;66001;1;Cabecera;80.504715958;2;1;1;1;1
647948;235;1;1;1;66001;1;Cabecera;66.999716199;1;1;2;2;1
647949;235;1;1;1;66001;1;Cabecera;81.394529429;2;1;1;1;1
647950;235;1;1;1;66001;1;Cabecera;56.896635722;1;1;3;1;1
647951;235;1;1;1;66001;1;Cabecera;103.89605699;1;1;1;2;1
647952;235;1;1;1;66001;1;Cabecera;55.804190092;1;1;2;1;1
647953;235;1;1;1;66001;1;Cabecera;56.04635289;1;1;3;2;1
647954;235;1;1;1;66001;1;Cabecera;84.456445285;1;1;2;1;1
647955;235;1;1;1;66001;1;Cabecera;134.47150173;1;1;1;1;1
647956;235;1;1;1;66001;1;Cabecera;89.857545912;2;1;1;2;1
647957;235;1;1;1;66001;1;Cabecera;72.845112082;1;1;1;2;1
647958;235;1;1;1;66001;1;Cabecera;66.275930996;1;1;1;1;1
647959;235;1;1;1;66001;1;Cabecera;83.000261093;2;1;1;2;1
647960;235;1;1;1;66001;1;Cabecera;52.627260937;2;1;1;2;1
647961;235;1;1;1;66001;1;Cabecera;63.307607606;1;1;2;2;1
647962;235;1;1;1;66001;1;Cabecera;63.307607606;1;1;2;2;1
647963;235;1;1;1;23001;1;Cabecera;61.691010389;1;1;1;2;1
647964;235;1;1;1;23001;1;Cabecera;95.521602426;1;1;1;2;1
647965;235;1;1;1;23001;1;Cabecera;67.410701957;1;1;1;1;2
647966;235;1;1;1;23001;1;Cabecera;73.399502266;2;1;1;2;1
647967;235;1;1;1;23001;1;Cabecera;43.010133691;2;1;1;1;2
647968;235;1;1;1;23001;1;Cabecera;62.863078641;1;1;1;1;1
647969;235;1;1;1;23001;1;Cabecera;56.510887933;2;1;1;2;1
647971;235;1;1;1;23001;1;Cabecera;43.131250802;1;1;1;1;1
647972;235;1;1;1;23001;1;Cabecera;44.778571129;1;1;1;1;1
647973;235;1;1;1;23001;1;Cabecera;67.715246925;1;1;1;2;1
647974;235;1;1;1;23001;1;Cabecera;48.56739728;1;1;1;2;1
647975;235;1;1;1;23001;1;Cabecera;53.897608246;1;1;1;1;1
647976;235;1;1;1;23001;1;Cabecera;61.318090501;1;1;1;1;1
647977;235;1;1;1;23001;1;Cabecera;62.565678676;1;1;1;2;1
647978;235;1;1;1;23001;1;Cabecera;67.770318483;1;1;1;2;1
647979;235;1;1;1;23001;1;Cabecera;48.21883873;1;1;1;1;1
647980;235;1;1;1;23001;1;Cabecera;35.994179488;1;1;1;4;1
647981;235;1;1;1;23001;1;Cabecera;48.21883873;1;1;1;1;1
647982;235;1;1;1;23001;1;Cabecera;56.640674779;2;1;1;2;1
647984;235;1;1;1;23001;1;Cabecera;44.989652836;1;1;1;1;1
647985;235;1;1;1;23001;1;Cabecera;49.173046772;2;1;1;4;1
647986;235;1;1;1;23001;1;Cabecera;67.770318483;2;1;1;2;1
647988;235;1;1;1;23001;1;Cabecera;54.009037783;2;1;1;2;1
647990;235;1;1;1;23001;1;Cabecera;55.569774537;1;1;1;1;1
647991;235;1;1;1;23001;1;Cabecera;46.076339633;1;1;1;2;2
647992;235;1;1;1;23001;1;Cabecera;61.43511951;2;1;1;2;1
647993;235;1;1;1;23001;1;Cabecera;66.355939351;1;1;1;1;1
647994;235;1;1;1;23001;1;Cabecera;50.827738862;2;1;1;2;1
647999;235;1;1;1;23001;1;Cabecera;36.671781133;2;1;1;2;1
648000;235;1;1;1;23001;1;Cabecera;55.448442395;2;1;1;1;1
648002;235;1;1;1;23001;1;Cabecera;76.249925527;1;1;1;2;1
648005;235;1;1;1;23001;1;Cabecera;36.988944829;1;1;1;1;1
648007;235;1;1;1;23001;1;Cabecera;44.358753916;1;1;1;2;1
648013;235;1;1;1;23001;1;Cabecera;42.184069612;1;1;1;1;1
648014;235;1;1;1;23001;1;Cabecera;42.777098205;2;1;1;2;1
648016;235;1;1;1;00000;0;Centro poblado y rur;569.74892072;1;1;1;3;1
648017;235;1;1;1;00000;0;Centro poblado y rur;476.53616123;1;1;1;1;1
