DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P220;P5785;P5501;P2057;P2059;P2061;P1402;P1403;P1365;P1364;P1363
647722;237;2;1;2;574.94809926;2;42;2;1;;2;2;2;4;;
647722;237;3;1;3;574.94809926;1;9;3;;;;;;;;
647722;237;4;1;4;574.94809926;2;2;3;;;;;;;;
647723;237;1;1;1;1202.8910136;1;47;1;1;;1;4;4;1;5;1
647723;237;2;1;2;1202.8910136;2;57;2;1;;1;4;4;1;1;1
647723;237;3;1;3;1202.8910136;1;17;3;2;2;2;4;4;7;;
647724;237;1;1;1;962.24827977;1;88;1;2;2;2;4;4;6;;
647724;237;2;1;2;962.24827977;2;54;3;2;2;2;4;4;4;;
647724;237;3;1;3;962.24827977;1;24;5;2;2;2;4;4;2;;
647724;237;4;1;4;962.24827977;2;16;5;2;2;2;4;4;3;;
647725;237;1;1;1;601.2718683;2;69;1;2;2;2;4;1;4;;
647725;237;2;1;2;601.2718683;1;43;3;2;2;2;4;1;1;6;3
647725;237;3;1;3;601.2718683;2;30;3;2;2;2;4;1;4;;
647725;237;4;1;4;601.2718683;2;2;5;;;;;;;;
647726;237;1;1;1;775.70035657;2;73;1;2;2;2;4;4;4;;
647726;237;2;1;2;775.70035657;1;45;7;2;2;2;4;4;3;;
647727;237;1;1;1;654.2121073;2;61;1;1;;2;4;4;2;;
647728;237;1;1;1;795.14079882;1;68;1;1;;1;4;4;1;5;1
647728;237;2;1;2;795.14079882;2;53;2;9;1;2;4;4;4;;
647728;237;3;1;3;795.14079882;1;16;5;1;;1;4;2;3;;
647728;237;4;1;4;795.14079882;2;13;5;;;;;;;;
647729;237;3;1;3;682.6931928;1;28;3;9;9;9;4;4;1;6;1
647729;237;1;1;1;682.6931928;1;66;1;2;2;2;4;4;1;6;1
647729;237;2;1;2;682.6931928;2;64;2;2;2;2;4;4;4;;
647730;237;1;1;1;573.58411;1;29;1;2;2;2;4;4;1;6;1
647730;237;2;1;2;573.58411;2;33;7;2;2;2;4;4;1;6;1
647731;237;1;1;1;997.25704539;1;61;1;2;2;2;4;4;1;3;3
647731;237;2;1;2;997.25704539;2;55;2;1;;2;4;4;1;2;3
647731;237;3;1;3;997.25704539;1;16;3;2;2;2;4;4;3;;
647731;237;4;1;4;997.25704539;2;12;3;;;;;;;;
647732;237;1;1;1;654.2121073;2;62;1;2;1;2;4;4;6;;
647733;237;1;1;1;1307.492992;1;48;1;9;9;9;4;4;1;6;3
647733;237;2;1;2;1307.492992;2;45;2;9;9;9;4;4;4;;
647733;237;3;1;3;1307.492992;1;22;3;2;2;2;4;4;3;;
647733;237;4;1;4;1307.492992;2;18;3;2;2;2;4;4;3;;
647735;237;1;1;1;637.31567777;1;34;1;2;2;2;3;3;1;7;1
647735;237;2;1;2;637.31567777;2;30;2;9;9;9;2;2;4;;
647736;237;1;1;1;840.97115899;1;48;1;2;2;2;4;3;1;3;3
647737;237;1;1;1;717.54186244;2;42;1;1;;9;4;2;1;2;1
647737;237;2;1;2;717.54186244;2;18;3;2;2;2;4;2;3;;
647737;237;3;1;3;717.54186244;2;14;3;;;;;;;;
647737;237;4;1;4;717.54186244;2;10;3;;;;;;;;
647738;237;1;1;1;1036.4921876;1;54;1;2;1;2;4;4;1;3;3
647738;237;2;1;2;1036.4921876;2;21;3;2;2;2;4;4;3;;
647739;237;1;1;1;798.16395095;1;56;1;2;1;2;4;4;2;;
647739;237;2;1;2;798.16395095;2;16;3;2;2;2;4;4;3;;
647740;237;1;1;1;1209.0189619;2;44;1;1;;2;4;3;1;6;1
647740;237;2;1;2;1209.0189619;1;18;3;2;2;2;4;4;1;3;3
647741;237;1;1;1;899.54164754;2;67;1;2;1;1;4;4;4;;
647742;237;1;1;1;1056.5216052;1;42;1;2;2;2;4;4;1;5;3
647742;237;2;1;2;1056.5216052;2;45;2;2;2;2;4;4;4;;
647742;237;3;1;3;1056.5216052;2;18;3;2;2;2;4;4;3;;
647742;237;4;1;4;1056.5216052;2;82;6;1;;1;4;4;5;;
647743;237;1;1;1;699.31378618;1;34;1;1;;2;2;2;1;6;1
647743;237;2;1;2;699.31378618;2;34;2;2;2;2;2;2;4;;
647743;237;3;1;3;699.31378618;1;6;3;;;;;;;;
647744;237;1;1;1;875.77356812;2;38;1;2;2;2;4;4;1;2;1
647744;237;2;1;2;875.77356812;2;17;3;2;2;2;4;4;3;;
647744;237;3;1;3;875.77356812;2;12;3;;;;;;;;
647745;237;1;1;1;544.45193009;2;27;1;2;2;2;4;1;1;6;1
647745;237;2;1;2;544.45193009;2;12;3;;;;;;;;
647745;237;3;1;3;544.45193009;1;7;3;;;;;;;;
647746;237;1;1;1;436.82773326;2;54;1;2;2;2;4;4;5;;
647746;237;2;1;2;436.82773326;2;30;4;2;2;2;4;3;4;;
647746;237;3;1;3;436.82773326;2;6;5;;;;;;;;
647747;237;1;1;1;136.70779931;2;72;1;2;2;2;4;4;4;;
647747;237;2;1;2;136.70779931;2;34;3;2;2;2;4;4;1;6;3
647747;237;3;1;3;136.70779931;1;34;4;2;2;2;4;4;1;8;1
647747;237;4;1;4;136.70779931;1;16;5;2;2;2;4;4;3;;
647747;237;5;1;5;136.70779931;2;10;5;;;;;;;;
647748;237;1;1;1;165.16655664;2;64;1;2;2;2;4;4;1;6;1
647749;237;1;1;1;111.76214519;1;48;1;2;2;2;4;4;5;;
647749;237;2;1;2;111.76214519;2;49;2;2;2;2;4;4;1;2;1
647750;237;2;1;2;143.29338507;2;56;2;2;2;2;4;4;1;2;1
647750;237;3;1;3;143.29338507;2;32;3;2;2;2;4;4;1;6;1
647750;237;4;1;4;143.29338507;1;30;3;2;2;2;4;4;1;7;1
647750;237;5;1;5;143.29338507;2;89;6;2;2;2;3;2;5;;
647750;237;1;1;1;143.29338507;1;56;1;2;2;2;4;4;1;7;3
647751;237;1;1;1;149.95286528;2;47;1;2;2;2;4;1;1;6;3
647751;237;2;1;2;149.95286528;2;24;2;2;2;2;1;1;1;6;3
647752;237;1;1;1;145.40192668;1;70;1;2;2;2;4;2;4;;
647753;237;1;1;1;111.76214519;1;52;1;2;2;2;4;4;1;6;3
647753;237;2;1;2;111.76214519;2;48;2;2;2;2;4;3;4;;
