DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P3105;P1361S20;P1361S14;P1361S21;P1361S3;P1361S4;P1361S5;P1361S22;P1361S23;P1361S7;P1361S11;P1361S24;P1361S12;P1361S13;P3106;P3502;P3107;P1358S16;P1358S13;P1358S17;P1358S3;P1358S4;P1358S5;P1358S18;P1358S19;P1358S7;P1358S12;P1358S20;P1358S10;P3108;P564;P3109S1;P3109S2;P3109S3;P3109S4;P3109S5;P3109S6;P3109S7;P3109S16;P3109S17;P3109S9;P3109S10;P3109S11;P3109S12;P3109S13;P3109S18;P3109S14;P3109S15;P3111S1;P3111S2;P3111S3;P3111S4;P3111S5;P3111S6;P3111S7;P3111S8;P3111S9;P3112S1;P3112S2;P3112S3;P3112S4;P3112S5;P3112S6;P3112S7;P3112S8;P3112S9;P3112S10;P3112S11;P3112S16;P3112S14;P3112S15;P1353S1;P1353S2;P1353S3;P1353S4;P1353S5;P1353S6;P3302S1;P3302S9;P3302S4;P3302S5;P3302S7;P3302S8;P3503S1;P3503S2;P3503S3;P3503S4;P3503S5;P3503S6
649706;237;2;1;2;128.05349434;2;;;;;;;;;;;;;;5;2;3;2;2;1;1;1;2;2;2;2;2;1;1;1;2;;;;;;;;;;;;;;;;;;2;2;3;3;3;3;;3;5;;;;1;1;;;1;1;;;;;;2;2;1;2;2;2;2;2;2;2;2;2;5;5;3;5;5;5
649706;237;3;1;3;128.05349434;3;2;2;1;2;1;1;2;2;1;2;1;;;3;3;3;2;2;1;1;1;1;2;2;1;2;1;1;3;1;;1;;;;;;;;;;;;;;;;3;3;3;3;3;3;;5;3;;1;;;;;;;;;;;;;1;1;1;2;2;1;2;2;2;2;2;2;2;5;2;2;5;3
649707;237;1;1;1;75.197062228;1;;;;;;;;;;;;;;2;1;2;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;2;5;5;5;5;4;;5;5;;;;;;;;;;;;;;2;2;2;1;2;1;2;2;2;2;2;2;2;5;3;5;5;4;4
649707;237;2;1;2;75.197062228;2;;;;;;;;;;;;;;3;2;2;;;;;;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;2;2;5;5;5;2;;3;5;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;4;4;5
649708;237;1;1;1;202.67542984;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;1;2;5;2;2;2;;2;5;;;;;;;;;;;;;;2;1;2;1;2;2;1;2;2;2;2;2;2;5;3;3;4;4;5
649708;237;2;1;2;202.67542984;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;2;2;5;2;2;2;;2;5;;;;;;;;;;;;;;2;1;1;1;2;2;1;9;9;9;9;9;9;5;5;3;5;5;5
649708;237;3;1;3;202.67542984;2;;;;;;;;;;;;;;2;2;3;2;2;1;1;1;1;2;1;2;2;1;1;1;2;;;;;;;;;;;;;;;;;;2;2;5;3;5;3;;3;5;1;;;;;;;;1;;;;;;1;2;1;2;2;1;1;2;2;2;2;2;5;5;4;5;3;5
649709;237;1;1;1;79.213703434;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;3;1;;1;1;;1;;;;;;1;;1;;1;;;2;3;3;3;3;3;;5;5;1;1;1;;1;1;;1;1;;;1;;;1;2;1;2;1;1;2;2;2;2;2;2;5;4;4;4;4;4
649709;237;2;1;2;79.213703434;2;;;;;;;;;;;;;;2;2;3;2;1;1;1;1;1;1;1;1;1;1;1;3;1;;1;1;;1;;;1;1;;1;;;;1;;;1;2;3;3;3;3;;5;5;;1;;1;;;;;;;;;;;1;2;1;2;1;2;2;2;2;2;2;2;5;4;5;5;5;5
649709;237;3;1;3;79.213703434;2;;;;;;;;;;;;;;3;2;3;2;2;1;1;1;2;2;1;1;1;2;2;3;1;;1;1;;;;;1;1;;;;;;1;;;1;3;3;3;3;3;;3;3;;1;;;1;;;;;;;;;;1;2;1;2;1;2;1;2;2;2;2;2;5;5;5;9;5;5
649710;237;1;1;1;292.33047071;2;;;;;;;;;;;;;;2;2;3;1;1;1;1;1;2;1;1;1;2;1;1;3;2;;;;;;;;;;;;;;;;;;2;3;3;3;3;3;;3;5;;;;;;;;;;;;;;2;1;2;1;2;2;2;2;2;2;2;2;2;4;5;3;3;3;4
649710;237;2;1;2;292.33047071;2;;;;;;;;;;;;;;2;2;1;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;2;3;3;3;4;3;;5;5;;;;;;;;;;;;;;2;1;1;1;2;2;2;2;2;2;2;2;2;4;2;3;9;4;3
649710;237;3;1;3;292.33047071;1;;;;;;;;;;;;;;1;1;3;2;1;1;2;2;2;2;2;2;2;2;2;1;2;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;;3;3;;;;;1;;;;;;;;;;1;1;1;1;1;1;2;2;2;2;2;2;5;5;3;1;5;5
649710;237;4;1;4;292.33047071;2;;;;;;;;;;;;;;2;2;3;2;1;1;1;1;1;1;1;1;2;1;1;3;1;1;1;1;1;1;1;1;1;1;;1;;;;1;;;2;3;3;3;3;3;;3;5;;1;;;;;;;;;;;;;1;2;1;2;1;1;2;2;2;2;2;2;5;5;4;5;5;4
649711;237;1;1;1;62.525226897;2;;;;;;;;;;;;;;3;2;3;2;2;1;2;1;2;2;2;1;1;1;1;3;1;;1;;;;;;;;;;;;;;;;2;5;3;3;5;3;;5;5;;;;;1;1;;;;;;;;;1;2;1;1;2;1;1;2;2;2;2;2;3;4;2;3;3;4
649711;237;2;1;2;62.525226897;3;2;2;1;1;1;2;2;2;1;2;1;;;4;3;3;2;2;1;1;1;2;2;2;1;1;1;1;1;1;;1;;;;;;;;;;;;;;;;3;3;3;3;3;3;;5;2;;;;;1;1;;;;;;;;;1;2;1;2;1;1;2;2;2;2;2;2;5;4;3;3;3;3
649712;237;1;1;1;262.13971902;3;2;2;2;1;2;2;2;2;1;2;2;;;2;2;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;3;2;2;5;2;2;;5;2;;1;1;1;1;;;;;;;;;;1;2;1;2;2;1;2;2;2;2;2;2;5;5;4;4;5;5
649713;237;1;1;1;62.060116295;2;;;;;;;;;;;;;;5;5;2;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;2;2;2;2;5;2;;5;5;;1;;;1;1;;;;;;;;;2;1;1;2;2;2;2;2;2;2;2;2;5;4;4;4;4;4
649713;237;2;1;2;62.060116295;2;;;;;;;;;;;;;;3;2;2;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;1;2;3;2;5;2;;5;5;;1;;1;1;1;;1;;;;1;;;1;2;1;2;2;1;2;2;2;2;2;2;5;5;2;4;4;3
649713;237;3;1;3;62.060116295;2;;;;;;;;;;;;;;5;3;3;2;2;2;1;1;2;2;2;2;1;1;1;2;2;;;;;;;;;;;;;;;;;;2;3;3;3;3;3;;5;5;;;;1;1;;;;;;;1;;;1;1;1;2;2;2;2;2;2;2;2;2;5;5;4;4;5;4
649714;237;1;1;1;118.13081539;2;;;;;;;;;;;;;;5;2;3;2;2;1;1;1;2;2;1;1;2;1;1;3;2;;;;;;;;;;;;;;;;;;3;5;5;2;5;2;;5;5;;1;;;;;;;;;;1;;;2;2;2;2;2;2;2;2;2;2;2;2;5;5;1;1;3;5
649715;237;2;1;2;78.297100659;3;2;2;1;1;1;2;2;2;1;2;1;;;3;3;3;2;2;1;1;1;2;2;2;1;1;2;2;3;1;1;1;;;;;;;;;;;;;;;;3;5;5;5;5;4;;5;5;;1;;1;;1;;;;;;;;;1;2;1;2;2;2;2;2;2;2;2;2;4;3;4;4;4;4
649715;237;1;1;1;78.297100659;3;2;2;1;1;1;2;2;2;1;2;1;;;3;3;3;2;2;1;1;1;2;2;2;1;1;2;2;3;1;1;1;;;;;;;;;;;;;;;;3;5;5;5;5;3;;5;3;;1;;;;1;;;;;;;;;1;2;1;2;2;1;2;2;2;2;2;2;4;5;3;4;4;4
649716;237;1;1;1;63.770843161;3;2;2;2;1;1;2;2;2;2;2;2;;;5;3;3;2;2;1;1;1;1;1;1;1;1;1;1;3;1;;1;;;;;;;;;;;;;1;;;3;3;3;3;5;3;;3;5;1;1;1;1;1;;1;;;;;1;;;1;2;1;2;2;1;2;2;2;2;2;2;5;4;3;1;5;5
649717;237;1;1;1;123.09700597;2;;;;;;;;;;;;;;5;2;3;2;2;1;1;1;1;2;2;1;2;1;1;3;2;;;;;;;;;;;;;;;;;;2;5;3;2;5;2;;5;5;;1;1;1;1;;;;;;;;;;2;2;2;2;2;2;9;9;9;9;9;9;1;5;1;1;1;3
649718;237;1;1;1;70.74546684;3;1;2;1;1;1;1;2;2;1;2;1;;;2;2;3;1;2;1;1;1;1;2;2;1;1;1;1;1;2;;;;;;;;;;;;;;;;;;3;3;2;5;3;3;;5;3;;1;;;;1;;;1;;;1;;;1;1;1;2;2;1;2;2;2;2;2;2;5;4;3;3;5;4
649718;237;2;1;2;70.74546684;3;2;2;1;1;1;1;2;2;1;2;1;;;3;3;3;2;2;1;1;1;1;2;2;1;1;1;1;1;2;;;;;;;;;;;;;;;;;;2;3;3;3;3;3;;5;5;;1;1;1;1;1;;;1;;;1;;;2;2;1;2;2;1;2;2;2;2;2;2;5;5;3;3;5;4
649718;237;3;1;3;70.74546684;3;2;2;1;1;1;1;2;1;1;2;1;;;3;3;3;2;2;1;1;1;1;2;1;1;1;1;1;1;2;;;;;;;;;;;;;;;;;;2;5;5;3;5;3;;5;5;;1;1;1;;;;;;;;1;;;2;2;1;2;2;1;9;9;9;9;9;9;5;3;3;4;5;5
649719;237;1;1;1;86.138264164;3;2;2;1;1;1;2;2;2;1;2;1;;;3;3;3;2;2;1;1;1;2;2;1;1;1;1;1;1;1;1;1;;;;;;;;;1;;;;;;;3;5;5;5;5;3;;5;2;;1;;;1;1;;;;;;;;;1;2;1;2;2;1;2;2;2;2;2;2;4;4;4;4;4;5
649719;237;2;1;2;86.138264164;3;2;2;2;1;1;2;2;2;1;2;1;;;3;3;3;2;2;1;2;1;2;2;2;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;2;5;3;3;5;3;;5;5;;;;;1;1;;;;;;;;;1;2;1;2;2;1;2;2;2;2;2;2;5;4;4;4;5;4
649719;237;3;1;3;86.138264164;3;2;2;1;1;1;2;2;2;1;2;1;;;3;2;2;;;;;;;;;;;;;3;1;1;1;;;;;;;;;1;;;;;;;2;2;5;5;5;3;;5;2;;;;;1;1;;;;;;;;;1;2;1;2;2;1;2;2;2;2;2;2;5;5;5;4;5;5
649720;237;1;1;1;145.2693502;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;;5;5;;1;;;;1;;;;;;;;;1;1;1;2;1;1;2;2;2;2;2;2;4;4;3;1;4;4
649720;237;2;1;2;145.2693502;2;;;;;;;;;;;;;;2;2;4;2;2;1;1;1;1;2;2;1;1;1;1;3;2;;;;;;;;;;;;;;;;;;2;2;5;2;2;2;;5;5;;;;1;;;;;;;;1;;;1;2;1;2;1;1;1;2;2;2;2;2;5;5;3;1;5;4
649721;237;1;1;1;199.32068159;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;3;1;1;1;1;1;;;;;;;;;;;;;;2;2;3;3;3;3;;3;3;;;;;;;;;;;;;;2;1;1;1;2;1;1;2;2;2;2;2;2;5;5;4;4;5;5
649721;237;2;1;2;199.32068159;3;1;1;2;1;1;2;2;2;1;2;2;;;2;2;1;;;;;;;;;;;;;3;1;1;1;1;;;1;1;1;1;1;;;;;;;;1;5;5;2;5;3;;5;5;;1;1;1;1;;;;;;;;;;1;1;1;1;1;1;2;2;2;2;2;2;5;5;1;3;5;5
649722;237;1;1;1;66.255421466;2;;;;;;;;;;;;;;3;2;2;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;2;3;3;2;3;3;;3;5;1;1;1;1;1;1;1;;;1;;1;;;1;1;1;2;2;1;2;2;2;2;2;2;5;5;3;3;3;5
649723;237;1;1;1;42.131885833;3;2;2;1;2;1;2;2;2;1;2;1;;;3;2;2;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;3;5;5;3;5;4;;5;5;;;;;1;1;;;;;;;;;1;2;1;2;2;1;2;2;2;2;2;2;5;1;3;3;4;4
649723;237;2;1;2;42.131885833;3;2;2;2;1;1;2;2;2;1;2;1;;;4;4;3;2;2;2;2;1;2;2;2;1;1;2;2;1;1;1;1;;;;;;;;;;;;;;;;3;5;5;5;5;4;;5;5;1;1;;1;1;1;;;;;;;;;1;2;1;2;2;2;2;2;2;2;2;2;4;1;3;4;4;4
649723;237;3;1;3;42.131885833;3;2;2;1;1;1;2;2;2;1;2;1;;;3;3;3;2;2;1;1;1;2;2;2;1;1;1;1;3;1;1;1;;;;;;;;;1;;;;;;;3;4;4;5;5;4;;5;5;;;;;1;1;;;;;;;;;1;2;1;2;2;1;2;2;2;2;2;2;5;4;4;4;4;5
649723;237;4;1;4;42.131885833;3;2;2;1;1;1;2;2;2;1;2;1;;;4;3;3;2;2;1;1;1;2;2;1;1;1;1;1;1;1;;1;;;;;;;;;;;;;;;;3;3;3;3;4;3;;3;3;;1;;;1;1;;;;;;;;;1;2;1;2;2;2;1;2;2;2;2;2;5;5;3;3;4;4
649724;237;1;1;1;71.418705305;2;;;;;;;;;;;;;;5;2;3;1;2;2;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;2;3;3;5;1;3;;3;5;;;;;;;;;;;1;1;;;1;1;1;2;2;1;2;2;2;2;2;2;5;3;1;1;1;1
649724;237;2;1;2;71.418705305;2;;;;;;;;;;;;;;2;3;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;1;3;3;3;3;3;;3;3;;;;;;;;;;;;;;2;1;1;2;2;2;1;2;2;2;2;2;2;5;4;4;4;4;3
649724;237;3;1;3;71.418705305;3;1;2;2;2;2;2;2;2;2;2;1;;;3;2;2;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;2;3;3;3;3;3;;3;3;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;4;5;3;3;5;5
649724;237;4;1;4;71.418705305;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;2;3;3;3;3;3;;3;3;;;;;;;;;;;;;;2;1;1;2;2;1;1;2;2;2;2;2;2;4;4;4;4;4;4
649725;237;1;1;1;169.06387886;3;2;2;1;1;1;1;2;1;1;2;1;;;5;3;3;2;2;1;1;1;1;2;1;1;1;1;1;2;2;;;;;;;;;;;;;;;;;;2;3;3;3;3;3;;3;5;;;;;1;1;;1;;;;1;;;1;1;1;2;2;2;2;2;2;2;2;2;5;4;3;3;5;5
649725;237;2;1;2;169.06387886;1;;;;;;;;;;;;;;1;1;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;1;1;1;1;2;4;;5;5;1;1;;;;1;;;;;;;;;1;2;1;2;2;1;2;2;2;2;2;2;4;5;3;2;4;1
649726;237;2;1;2;51.224865083;2;;;;;;;;;;;;;;3;2;2;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;2;5;5;3;5;3;;5;5;;;;1;1;1;;;;;;;;;1;2;1;1;2;1;2;2;2;2;2;2;5;5;5;5;5;5
649726;237;3;1;3;51.224865083;3;2;2;2;1;1;2;2;2;1;2;1;;;3;2;2;;;;;;;;;;;;;3;1;1;1;;;;;;;;;;;;;;;;3;5;5;5;5;3;;5;5;;;;;1;1;;;;;;;;;1;2;1;2;2;1;2;2;2;2;2;2;5;5;5;5;5;5
649726;237;1;1;1;51.224865083;2;;;;;;;;;;;;;;3;3;3;2;2;1;2;1;2;2;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;3;5;5;4;5;3;;5;5;;;;;;1;;;;;;;;;1;2;1;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5
649727;237;1;1;1;64.50412538;2;;;;;;;;;;;;;;2;2;3;2;2;1;1;2;2;2;2;2;2;1;1;1;1;;1;;;1;;;;;;;;;;;;;2;3;3;2;3;3;;3;5;;1;;;1;;;;;;;1;;;1;2;1;2;2;1;2;2;2;2;2;2;5;3;1;1;5;5
649727;237;2;1;2;64.50412538;2;;;;;;;;;;;;;;3;2;3;2;2;2;1;2;2;2;2;2;2;2;2;1;1;;1;;;;;;;;;;;;;;;;2;3;3;3;3;3;;3;3;;1;;;1;;;;;;;1;;;1;2;2;2;2;1;2;2;2;2;2;2;5;4;3;3;4;4
649728;237;1;1;1;56.746982046;2;;;;;;;;;;;;;;5;3;3;2;2;2;2;1;2;2;1;2;2;1;1;3;1;;1;;1;1;1;;1;;;1;;;;1;;;3;3;3;2;3;3;;3;3;;;;1;;;;;;;;;;;1;2;1;2;1;2;1;2;2;2;2;2;4;4;3;4;4;5
649728;237;2;1;2;56.746982046;3;1;2;2;1;1;1;2;1;1;2;2;;;2;2;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;3;2;2;2;3;2;;2;2;;;;;;;;;;;;;;2;1;1;2;2;2;1;2;2;2;2;2;2;5;4;3;3;5;9
649728;237;3;1;3;56.746982046;3;1;1;1;1;1;1;1;1;1;2;2;;;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;2;;;;;;;;;;;;;;;;;;2;3;3;3;3;3;;3;3;;;;;;;;;;;;;;2;1;1;2;2;2;2;1;1;2;2;2;2;5;5;3;2;5;4
649728;237;4;1;4;56.746982046;2;;;;;;;;;;;;;;5;5;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;2;5;5;5;5;2;;5;5;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3
649729;237;1;1;1;44.053352336;2;;;;;;;;;;;;;;5;2;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;2;3;3;2;5;2;;3;5;;;;;1;1;;;;;;1;;;2;2;2;2;2;2;2;2;2;2;2;2;5;4;5;9;5;5
649729;237;2;1;2;44.053352336;3;2;2;2;1;1;1;1;1;1;2;2;;;3;3;3;2;2;1;1;1;1;1;1;1;1;2;2;3;2;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;;3;3;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5
649730;237;1;1;1;130.49322487;3;2;2;1;1;1;1;1;2;1;2;2;;;3;1;3;1;1;2;1;1;2;2;2;2;2;2;2;2;1;;1;1;;1;1;;;;;1;;;;1;;;2;3;3;4;3;3;;3;2;;1;;1;1;;;;1;;;1;;;1;2;1;1;1;2;2;2;2;2;2;2;4;3;4;5;4;5
649731;237;2;1;2;84.56028916;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;2;3;3;3;5;3;;5;5;;;;;;;;;;;;;;2;1;2;1;2;1;1;2;2;2;2;2;2;5;5;5;1;5;5
649731;237;1;1;1;84.56028916;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;2;5;3;3;3;3;;5;5;;;;;;;;;;;;1;;;1;2;1;2;2;1;2;2;2;2;2;2;5;5;5;5;5;3
649732;237;1;1;1;73.426934213;3;2;2;2;1;1;1;2;2;2;2;2;;;5;2;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;2;2;2;2;5;2;;5;5;;;;;1;1;;;;;;;;;1;1;1;1;2;1;2;2;2;2;2;2;5;5;4;5;5;3
649732;237;2;1;2;73.426934213;2;;;;;;;;;;;;;;4;2;2;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;2;2;3;3;3;3;;5;3;;;1;;1;1;;;;;;1;;;1;1;1;2;1;1;2;2;2;2;2;2;5;5;4;5;3;5
649733;237;3;1;3;131.77204222;2;;;;;;;;;;;;;;3;2;3;1;2;1;1;1;1;1;1;1;1;2;2;3;1;;1;;;;;;1;;;;;;;;;;2;3;5;3;5;3;;3;3;1;1;;;;;;;;;;1;;;1;1;1;2;1;2;1;1;2;2;1;2;3;2;2;9;1;3
649733;237;4;1;4;131.77204222;2;;;;;;;;;;;;;;3;3;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;2;2;5;5;5;2;;2;5;1;;;;;;;;;;;;;;1;2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;4
649733;237;1;1;1;131.77204222;2;;;;;;;;;;;;;;2;2;3;2;2;2;2;2;2;2;2;1;2;2;2;2;2;;;;;;;;;;;;;;;;;;1;5;5;3;3;2;;5;5;;1;;;;;;;;;;;;;1;2;1;2;2;2;2;1;1;1;2;2;3;4;3;2;2;4
649733;237;2;1;2;131.77204222;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;3;2;2;2;2;2;;3;5;;;;;;1;;;;;;;;;1;1;1;2;2;2;1;1;2;1;1;1;2;3;3;4;1;3
649734;237;1;1;1;65.51126679;2;;;;;;;;;;;;;;3;2;3;1;2;1;1;1;1;2;1;2;1;1;1;3;2;;;;;;;;;;;;;;;;;;2;5;5;3;3;3;;5;5;;1;;1;1;;;;;;;1;;;2;1;2;2;2;1;1;2;2;2;2;2;5;5;1;5;5;5
649734;237;2;1;2;65.51126679;2;;;;;;;;;;;;;;5;5;3;2;2;1;1;1;1;2;2;1;1;1;1;1;2;;;;;;;;;;;;;;;;;;2;5;5;3;5;3;;5;5;;1;;1;;;;;;;;;;;1;1;1;2;2;1;2;2;2;2;2;2;1;1;1;1;1;1
649735;237;1;1;1;134.17238595;3;2;2;2;2;1;2;2;1;2;2;2;;;3;2;2;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;2;2;3;5;2;2;;5;5;1;;1;;;1;;;;;;;;;1;1;1;2;1;1;2;2;2;2;2;2;5;5;5;5;5;5
649735;237;2;1;2;134.17238595;3;2;2;1;2;1;2;2;1;1;2;1;;;3;2;3;2;2;1;2;1;2;1;1;1;1;2;2;2;2;;;;;;;;;;;;;;;;;;2;3;3;3;3;3;;5;3;;;;;1;1;;;;;;1;;;1;2;1;2;2;1;1;1;2;2;2;2;5;5;5;5;5;5
649736;237;1;1;1;178.11923303;2;;;;;;;;;;;;;;3;2;3;2;2;1;1;1;1;2;1;1;1;2;2;2;1;;1;;;;;;;;;;;;;;;;2;3;3;3;3;3;;5;5;;1;;;1;1;1;;;;;1;;;1;1;1;2;1;2;2;2;2;2;2;2;5;1;1;1;5;5
649736;237;2;1;2;178.11923303;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;2;3;2;2;2;2;;2;2;;;;;;;;;;;;;;2;1;1;1;2;2;2;2;2;2;2;2;2;5;5;3;4;5;4
649736;237;3;1;3;178.11923303;3;1;2;2;1;1;1;2;1;1;2;1;;;4;3;2;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;;3;3;;;;;;;;;;;;;;2;1;2;1;2;2;2;1;2;2;2;2;2;4;5;4;2;5;4
649737;237;1;1;1;74.604246039;2;;;;;;;;;;;;;;5;2;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;2;5;5;5;5;2;;5;5;;;;;;;;;;;;;;2;1;1;1;2;2;2;2;2;2;2;2;2;5;3;3;1;3;5
649738;237;1;1;1;287.64891611;2;;;;;;;;;;;;;;2;2;3;1;1;2;1;1;1;1;1;1;1;1;1;3;2;;;;;;;;;;;;;;;;;;2;2;3;3;3;2;;3;3;;1;1;1;1;1;;1;1;;;1;;;2;2;1;2;2;2;2;2;2;2;2;2;4;4;3;4;5;4
649738;237;2;1;2;287.64891611;2;;;;;;;;;;;;;;3;3;3;2;2;1;1;1;1;1;2;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;;1;;1;;1;;;2;3;3;3;3;3;;3;3;;1;1;1;1;1;1;1;;;;1;;;1;1;1;2;2;1;1;1;1;2;2;2;5;5;5;5;5;5
649739;237;1;1;1;71.033383754;2;;;;;;;;;;;;;;5;2;3;2;2;2;1;2;2;1;2;2;2;2;2;1;2;;;;;;;;;;;;;;;;;;2;3;3;3;3;3;;5;3;;1;;;1;1;;;;;;1;;;1;2;1;2;1;1;2;2;2;2;2;2;4;4;4;9;4;5
649739;237;2;1;2;71.033383754;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;2;3;3;3;3;3;;3;3;;;;;;;;;;;;;;2;1;2;1;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5
649739;237;3;1;3;71.033383754;2;;;;;;;;;;;;;;5;2;3;2;2;1;2;1;2;2;2;2;2;2;2;1;1;;1;;;1;;;;;;;;;;;;;2;3;3;3;3;3;;5;3;;;;1;1;1;;;;;;1;;;1;2;1;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5
649740;237;1;1;1;37.674200358;3;2;2;1;1;1;1;2;2;1;2;1;;;3;3;3;2;2;1;1;1;1;2;2;1;1;1;1;3;2;;;;;;;;;;;;;;;;;;2;5;3;2;3;3;;5;5;;1;;1;;1;;;;;;;;;1;2;1;2;2;1;2;2;2;2;2;2;4;4;3;5;4;3
649740;237;2;1;2;37.674200358;3;1;1;1;1;1;2;2;1;2;2;1;;;3;2;2;;;;;;;;;;;;;1;1;;1;1;;;1;;1;1;;;;;;;;;2;3;3;3;3;3;;5;5;1;1;;;1;1;;;1;;;1;;;1;2;1;2;2;2;1;1;2;2;1;1;5;5;3;4;5;4
649740;237;3;1;3;37.674200358;2;;;;;;;;;;;;;;5;5;2;;;;;;;;;;;;;1;1;;1;1;;;;;;;;;;;;;;;2;5;3;5;5;2;;5;5;1;1;;1;;;;;;;;1;;;1;2;1;2;2;1;2;2;2;2;2;2;5;3;3;1;3;3
649740;237;4;1;4;37.674200358;2;;;;;;;;;;;;;;2;2;3;2;2;1;1;1;1;2;1;1;1;1;1;2;1;;1;;;;;;;;;;;;;;;;2;2;3;3;3;2;;5;3;1;;;;1;1;;;;;;1;;;1;2;1;2;2;1;2;2;2;2;2;2;5;5;5;5;5;5
649741;237;1;1;1;251.73119498;3;2;2;1;1;1;2;2;2;1;2;1;;;3;3;3;2;2;1;1;1;2;2;2;1;1;1;1;3;1;;1;;;;;;;;;;;;;;;;3;3;3;3;5;3;;5;5;;;;;1;1;;;;;;;;;1;1;1;2;2;1;2;2;2;2;2;2;4;5;4;2;3;4
649741;237;2;1;2;251.73119498;3;2;2;1;1;1;2;2;2;1;2;1;;;3;3;3;2;2;1;1;1;2;2;2;1;1;2;2;3;1;;1;;;;;;;;;;;;;;;;2;3;3;3;5;3;;5;5;;;;;1;1;;;;;;;;;1;2;1;2;2;2;1;2;2;2;2;2;4;5;3;3;4;4
649742;237;1;1;1;85.705107013;2;;;;;;;;;;;;;;2;5;2;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;;5;5;;;;;;1;;;;;;;;;1;1;1;2;2;1;2;2;2;2;2;2;5;5;4;5;5;5
649742;237;2;1;2;85.705107013;2;;;;;;;;;;;;;;2;2;3;2;2;1;2;1;2;2;2;2;2;2;2;1;2;;;;;;;;;;;;;;;;;;2;3;3;3;2;2;;5;5;;1;1;1;1;1;;;;;;1;;;1;2;2;2;2;2;2;2;2;2;2;2;5;3;5;5;5;5
